Mobile Medical Van,Mobile Unit,0,Mobile Road,Cape Town,Western Cape,7490,Cape Town,-33.971099,18.5863365
Tehachapi,108 S. Robinson,108,South Robinson Street,Tehachapi,California,93561,Kern County,35.1314343,-118.4458679
Azusa WIC Center,109 W. 6th Avenue,109,West 6th Street,Azusa,California,91702,Los Angeles County,34.1316759,-117.9076342
Winters Library,111 E Grant Avenue,111,East Grant Avenue,Winters,California,95694,Yolo County,38.526988,-121.9663966
Patterson WIC Program,118 North Second Street Suite D,118,North 2nd Street,Patterson,California,95363,Stanislaus County,37.4739552,-121.1305178
Los Angeles Street WIC,119 East Washington Boulevard,119,East Washington Boulevard,Los Angeles,California,90015,Los Angeles County,34.0308964,-118.2640737
Fort Bragg,120 West Fir Street,120,West Fir Street,Fort Bragg,California,95437,Mendocino County,39.447564,-123.806491
Mendota,121 Barboza Street,121,Barboza Street,Mendota,California,93640,Fresno County,36.7661299,-120.38322
Kettleman City Clinic,124 Becky Pease Road,124,Becky Pease Street,Kettleman City,California,93239,Kings County,36.0079796,-119.9602141
San Joaquin County Public Health Services - Manteca,124 Sycamore Lane,124,Sycamore Avenue,Manteca,California,95336,San Joaquin County,37.7981928,-121.2186796
Thousand Oaks WIC,125 West Thousand Oaks Boulevard Suite 100,125,West Thousand Oaks Boulevard,Thousand Oaks,California,91360,Ventura County,34.179148,-118.880107
Compton WIC Site,130 East Compton Boulevard,130,East Compton Boulevard,Compton,California,90220,Los Angeles County,33.8944228,-118.2232753
La Habra WIC Center,131 South Harbor Boulevard,131,South Harbor Boulevard,La Habra,California,90631,Orange County,33.9307798,-117.9336825
Yolo County WIC Program,137 North Cottonwood Street Suite 1200,137,North Cottonwood Street,Woodland,California,95695,Yolo County,38.6875395,-121.7949948
Lone Pine WIC Statham Hall,138 Jackson Street,138,North Jackson Street,Lone Pine,California,93545,Inyo County,36.606599,-118.062244
VHC Milpitas,143 North Main Street,143,North Main Street,Milpitas,California,95035,Santa Clara County,37.43218,-121.907993
Sonoma County Indian Health Department,144 Stony Point Road,144,Stony Point Road,Santa Rosa,California,95401,Sonoma County,38.4405583,-122.7435965
Friendly Community Center,147 W Rose Avenue,147,West Rose Avenue,Orange,California,92867,Orange County,33.7973295,-117.8539599
San Marcos,150 Valpreda Road Suite 102,150,Valpreda Road,San Marcos,California,92069,San Diego County,33.1403531,-117.1569078
Ontario Health Center,150 East Holt Boulevard,150,East Holt Boulevard,Ontario,California,91761,San Bernardino County,34.0633313,-117.6508637
Klamath - UIHS/Resighini Tribal Clinic,151 East Klamath Beach Road,151,Southeast Klamath Beach Road,Klamath,California,95548,Del Norte County,41.5116226,-124.0258921
Hayfork Community Center,154 Tule Creek Road,154,Tule Creek Road,Hayfork,California,96041,Trinity County,40.5497325,-123.1945303
Dixon Family Services,155 North Second Street,155,North 2nd Street,Dixon,California,95620,Solano County,38.4461586,-121.8216773
Independence,155 East Market Street,155,East Market Street,Independence,California,93526,Inyo County,36.8030861,-118.1981788
Gardner Site WIC Office,160 East Virginia Suite 210,160,East Virginia Street,San Jose,California,95112,Santa Clara County,37.325608,-121.877664
Native American Health Center - San Francisco,160 Capp Street,160,Capp Street,San Francisco,California,94110,San Francisco County,37.7641193,-122.4189111
Brentwood Health Center,171 Sand Creek Road,171,Sand Creek Road,Brentwood,California,94513,Contra Costa County,37.947929,-121.69926
Portola,171 Nevada Street,171,Nevada Street,Portola,California,96122,Plumas County,39.8058218,-120.4687744
Fullerton WIC Center,174 North Raymond Avenue,174,North Raymond Avenue,Fullerton,California,92831,Orange County,33.8723465,-117.9060658
Farmersville WIC,175 East Front Street,175,East Front Street,Farmersville,California,93223,Tulare County,36.30444,-119.206073
Vets Memorial Hall,189 Pine Street,189,Pine Street,Valley Springs,California,95252,Calaveras County,38.1902784,-120.8315741
Nipomo Community Medical Center,200 East Dana Street,200,East Dana Street,Nipomo,California,93444,San Luis Obispo County,35.0440427,-120.4719199
Gridley,200 East Spruce Street,200,East Spruce Street,Gridley,California,95948,Butte County,39.3669781,-121.6860428
Willows NVIH,201 North Butte Street,201,North Butte Street,Willows,California,95988,Glenn County,39.521861,-122.1953555
Sierra County Human Services,202 Front Street,202,Front Street,Loyalton,California,96118,Sierra County,39.674388,-120.240907
San Clemente,202 Avenida Aragon,202,Avenida Aragon,San Clemente,California,92672,Orange County,33.4290927,-117.6250256
North Santa Maria,203 E Fesler,203,East Fesler Street,Santa Maria,California,93454,Santa Barbara County,34.9566554,-120.4339906
Arvin WIC,204 S. Hill Street,204,South Hill Street,Arvin,California,93203,Kern County,35.207961,-118.830654
San Joaquin County Public Health Services - Tracy,205 West 9th Street,205,West 9th Street,Tracy,California,95376,San Joaquin County,37.737564,-121.429507
Food Bank,206 George Reed Drive,206,George Reed Drive,San Andreas,California,95249,Calaveras County,38.1797709,-120.6782913
Ione-Memorial Hall,207 S. Amador Street,207,South Amador Street,Ione,California,95640,Amador County,38.3518366,-120.9302695
Mcfarland Community Health Center,209 West Kern Avenue,209,West Kern Avenue,McFarland,California,93250,Kern County,35.6778238,-119.229532
Willits,221 South Lenore Avenue,221,South Lenore Avenue,Willits,California,95490,Mendocino County,39.4102131,-123.3458981
Bridgeport Health Department,221 Twin Lakes Road,221,Twin Lakes Road,Bridgeport,California,93517,Mono County,38.252602,-119.230643
Cloverdale,223-A S Cloverdale Boulevard,223,South Cloverdale Boulevard,Cloverdale,California,95425,Sonoma County,38.8035613,-123.0162119
Half Moon Bay WIC,225 South Cabrillo Hwy 100A,225,Cabrillo Highway South,Half Moon Bay,California,94019,San Mateo County,37.4647875,-122.4327869
Lemoore Health Center,229 C Street,229,C Street,Lemoore,California,93245,Kings County,36.3006422,-119.7836926
Avalon-Harry L. Hufford Co. Government,236 Metropole Ave,236,Metropole Avenue,Avalon,California,90704,Los Angeles County,33.34285,-118.327893
Lindsay WIC,248 North Highway 65,248,All America City Highway,Lindsay,California,93247,Tulare County,36.2036063,-119.1045732
Woodlake,250 East Antelope Suite F,250,East Antelope Avenue,Woodlake,California,93286,Tulare County,36.4165658,-119.0968222
Manchester,250 E Manchester Ave,250,East Manchester Avenue,Los Angeles,California,90003,Los Angeles County,33.9600457,-118.2702548
Modesto WIC Program Community Services Agency,251 E. Hackett Road,251,Hackett Road,Modesto,California,95358,Stanislaus County,37.5883131,-120.9914385
Scripps Mercy WIC Chula Vista,251 Palomar Street Suite C,251,Palomar Street,Chula Vista,California,91911,San Diego County,32.6077461,-117.0647668
Tahoe Site,265 Bear Street,265,Bear Street,Kings Beach,California,96143,Placer County,39.237974,-120.024854
Corning Health Care District WIC,275 Solano Street,275,Solano Street,Corning,California,96021,Tehama County,39.927309,-122.168853
Beverly WIC Center,277 Atlantic Boulevard,277,South Atlantic Boulevard,Los Angeles,California,90022,Los Angeles County,34.0325253,-118.1534878
Encinitas,285 North El Camino Real Suite 111,285,North El Camino Real,Encinitas,California,92024,San Diego County,33.0536183,-117.2603988
Del Norte County Health Department,286 M Street Suite D,286,M Street,Crescent City,California,95531,Del Norte County,41.7547602,-124.1926119
Grover Beach Health Department,286 South 16th Street Suite B,286,South 16th Street,Grover Beach,California,93433,San Luis Obispo County,35.1193232,-120.6118647
Peter Luque Center,290 East O Street,290,East O Street,Colton,California,92324,San Bernardino County,34.0592123,-117.32228
Euclid Health Center WIC Office,292 Euclid Avenue Suite 225,292,Euclid Avenue,San Diego,California,92114,San Diego County,32.7071142,-117.0860117
Lee Vining Community Center,296 Mattly Avenue,296,Mattly Avenue,Lee Vining,California,93541,Mono County,37.961514,-119.119587
Smith River - Howonquest Tribal Center,300 North Indian Road,300,North Indian Road,Smith River,California,95567,Del Norte County,41.9569366,-124.2027552
UC Irvine Family Health Center,300 West Carl Karcher Way,300,West Carl Karcher Way,Anaheim,California,92801,Orange County,33.8508262,-117.9208712
San Juan Bautista Community Center,301 Alameda Building 3,301,The Alameda,San Juan Bautista,California,95045,San Benito County,36.8414116,-121.5349868
Central Bakersfield Community Health Center,301 Nrundage,301,Brundage Lane,Bakersfield,California,93304,Kern County,35.3532391,-119.0054347
Barstow Public Health,301 East Mountain View Avenue,301,East Mountain View Street,Barstow,California,92311,San Bernardino County,34.8939761,-117.0243924
Lompoc WIC Program,301 North R Street,301,North R Street,Lompoc,California,93436,Santa Barbara County,34.642795,-120.4709915
West Fresno Community Health Center WIC,302 Fresno Street Suite 200,302,Fresno Street,Fresno,California,93706,Fresno County,36.7238238,-119.8089299
South San Francisco WIC SSF Family Health Center,306 Spruce Avenue,306,Spruce Avenue,South San Francisco,California,94080,San Mateo County,37.6566063,-122.4156565
Dorris City Hall,307 South Main Street,307,South Main Street,Dorris,California,96097,Siskiyou County,41.9643569,-121.9182195
Perris Health Center WIC,308 East San Jacinto Avenue,308,East San Jacinto Avenue,Perris,California,92570,Riverside County,33.7870337,-117.2228373
Eureka,309 Harris Street,309,Harris Street,Eureka,California,95503,Humboldt County,40.7806279,-124.1655358
Maganda WIC,312 Austin,312,South Austin Street,Delano,California,93215,Kern County,35.756111,-119.255112
San Pedro WIC Center,312 North Gaffey Street Suite 101-103,312,North Gaffey Street,Los Angeles,California,90731,Los Angeles County,33.7454924,-118.2919683
Santa Barbara County Public Health - WIC,315 Camino Del Remedio,315,Camino del Remedio,Santa Barbara,California,93110,Santa Barbara County,34.4456614,-119.7794564
Eureka,317 2nd Street,317,2nd Street,Eureka,California,95501,Humboldt County,40.80444,-124.168345
DHC Lodi,318 South Crescent Avenue,318,South Crescent Avenue,Lodi,California,95240,San Joaquin County,38.1289352,-121.2823202
Shafter WIC,320 James Street,320,James Street,Shafter,California,93263,Kern County,35.5033941,-119.2770789
Danbrook Family Resource Center WIC,320 South Danbrook Street,320,South Danbrook Drive,Anaheim,California,92804,Orange County,33.828728,-118.008189
El Cajon WIC,321 Van Houten Avenue,321,Van Houten Avenue,El Cajon,California,92020,San Diego County,32.7924236,-116.965806
Waterford Head Start Program,325 D Street #2,325,D Street,Waterford,California,95386,Stanislaus County,37.642443,-120.760346
Mountain View WIC,327 Moffett Boulevard Suite F,327,Moffett Boulevard,Mountain View,California,94043,Santa Clara County,37.3980439,-122.0752388
Kings County Department of Public Health WIC Program,330 N Harris Street #103,330,North Harris Street,Hanford,California,93230,Kings County,36.3286943,-119.6447504
Los Banos WIC,340 I Street,340,I Street,Los Banos,California,93635,Merced County,37.062742,-120.8511815
Orland Admin Site and Clinic,345 Yolo Street,345,Yolo Street,Orland,California,95963,Glenn County,39.7437686,-122.1941941
San Benito Health Foundation,351 Felice Drive,351,Felice Drive,Hollister,California,95023,San Benito County,36.8532362,-121.4163828
Soledad WIC,355 Gabilan Drive,355,Gabilan Drive,Soledad,California,93960,Monterey County,36.4368257,-121.3279682
Villa Parke Community Center,363 East Villa Street,363,East Villa Street,Pasadena,California,91101,Los Angeles County,34.1544919,-118.1430267
Solano County Health and Social Services Department (SCHSSD) - Vallejo (VJO),365 Tuolumne Street,365,Tuolumne Street,Vallejo,California,94590,Solano County,38.1032052,-122.2400076
Calaveras Grange Hall / Faith Fellowship Church,376 Russels Road,376,Russells Road,San Andreas,California,95249,Calaveras County,38.197158,-120.687752
Daly City WIC,380 - 90th Street,380,90th Street,Daly City,California,94015,San Mateo County,37.6914367,-122.4738655
Gustine WIC,399 Sixth Street,399,6th Street,Gustine,California,95322,Merced County,37.255828,-121.001376
Downtown Oxnard Site,400 South B Street,400,South B Street,Oxnard,California,93030,Ventura County,34.1988299,-119.1795544
Greenfield WIC,403 Boomerang Drive,403,Boomerang Drive,Bakersfield,California,93307,Kern County,35.3014246,-119.0062621
Chowchilla,405 Trinity Avenue,405,Trinity Avenue,Chowchilla,California,93610,Madera County,37.1205715,-120.2609902
Industry Hills WIC Center,417 South Azusa Avenue,417,South Azusa Avenue,La Puente,California,91744,Los Angeles County,34.0154674,-117.9216892
Community Medical Center WIC,425 North California Street # 7,425,North California Street,Stockton,California,95202,San Joaquin County,37.9580397,-121.2861049
Administration Office,430 Sutter Hill Road,430,Sutter Hill Road,Sutter Creek,California,95685,Amador County,38.3804331,-120.800225
Greenville,430 Main Street,430,Main Street,Greenville,California,95947,Plumas County,40.1058177,-120.9087533
Mono County Health Department,437 Old Mammoth Road Suite Q,437,Old Mammoth Road,Mammoth Lakes,California,93546,Mono County,37.639103,-118.9642989
Walker Community Center,442 Mule Deer Avenue,442,Mule Deer Road,Coleville,California,96107,Mono County,38.514154,-119.479411
Grass Valley,471 Sutton Way Suite 204,471,Sutton Way,Grass Valley,California,95945,Nevada County,39.2325158,-121.0351485
San Mateo WIC,477 9th Avenue Suite 110,477,9th Avenue,San Mateo,California,94402,San Mateo County,37.5629155,-122.3171638
Richland Migrant Center,479 Bernard Drive Unit G1,479,Bernard Drive,Yuba City,California,95991,Sutter County,39.1201915,-121.6085245
Parlier,490 Fresno Street Suite B,490,Fresno Street,Parlier,California,93648,Fresno County,36.611039,-119.524121
VHC Tully,500 Tully Road,500,Tully Road,San Jose,California,95111,Santa Clara County,37.3056291,-121.8503981
Bakersfield WIC,500 East California Avenue,500,East California Avenue,Bakersfield,California,93307,Kern County,35.368814,-118.998901
Family Ties,500 West Hospital Road,500,West Hospital Road,French Camp,California,95231,San Joaquin County,37.8869674,-121.2830525
West Sacramento,500 Jefferson Boulevard Building B,500,Jefferson Boulevard,West Sacramento,California,95605,Yolo County,38.587534,-121.5277665
Fort Mojave/Needles WIC,500 Merriman Avenue,500,Merriman Street,Needles,California,92363,San Bernardino County,34.8521548,-114.6152723
Florence WIC Site,501 East Florence Avenue,501,East Florence Avenue,Los Angeles,California,90003,Los Angeles County,33.9747466,-118.2661222
Fallbrook WIC Clinic,504 East Alvarado Street Suite 105,504,East Alvarado Street,Fallbrook,California,92028,San Diego County,33.3822862,-117.2466558
Murphy's,509 N. Algiers Street,509,Algiers Street,Murphys,California,95247,Calaveras County,38.1384918,-120.4648736
Colusa WIC Clinic,515 Fremont Street,515,Fremont Street,Colusa,California,95932,Colusa County,39.207538,-122.010777
Oildale Good Samaritan Hospital,525 Roberts Lane,525,Roberts Lane,Bakersfield,California,93308,Kern County,35.4081631,-119.0315394
Chula Vista WIC,542 Broadway Suite Q,542,Broadway,Chula Vista,California,91910,San Diego County,32.6292665,-117.0893379
Solvang WIC,545 Alisal Road,545,Alisal Road,Solvang,California,93463,Santa Barbara County,34.597244,-120.137653
Brawley WIC,"561 ""E"" Street",561,E Street,Brawley,California,92227,Imperial County,32.980077,-115.532263
El Cajon WIC Office,564 North Second Street,564,North 2nd Street,El Cajon,California,92021,San Diego County,32.801782,-116.936952
Inyo County Department Of Health And Human Services,568 W. line Street,568,West Line Street,Bishop,California,93514,Inyo County,37.361215,-118.3999487
Avenal Clinic,590 Skyline Boulevard,590,Skyline Boulevard,Avenal,California,93204,Kings County,36.0040132,-120.129755
Davis Community Clinic,600 'A' Street,600,West Davis Street,Tucson,Arizona,85705,Pima County,32.2289829,-110.9806276
Arvin WIC,601 Bear Mountain Boulevard,601,Bear Mountain Boulevard,Arvin,California,93203,Kern County,35.208792,-118.831161
"Community Resource Project, Inc.",602 C Street Suite 300,602,C Street,Galt,California,95632,Sacramento County,38.2527409,-121.3025522
Soboba Clinic,607 Donna Way,607,Donna Way,San Jacinto,California,92583,Riverside County,33.781945,-116.936696
Monterey County Department of Health,620 Broadway,620,Broadway Street,King City,California,93930,Monterey County,36.2103571,-121.1314103
South Coast Community WIC North Street Community Center,620 North Street Building 16,620,North Street,Pescadero,California,94060,San Mateo County,37.2562587,-122.3784982
Railroad Square,620 North Aurora Street,620,Aurora Street South,Stockton,California,95202,San Joaquin County,37.9611732,-121.2804265
Santa Paula Public Health Center,620 West Harvard Boulevard,620,West Harvard Boulevard,Santa Paula,California,93060,Ventura County,34.342111,-119.081277
Costa Mesa,621 W 19th Street Suite B,621,West 19th Street,Costa Mesa,California,92627,Orange County,33.643136,-117.924344
Marin City,630 Drake Avenue,630,Drake Avenue,Sausalito,California,94965,Marin County,37.8729121,-122.5144105
Access California Services WIC,631 S Brookhurst Street Suite 107,631,South Brookhurst Street,Anaheim,California,92804,Orange County,33.82367,-117.960126
Main Street WIC Center,631 S Main Street Suite B,631,South Main Street,Santa Ana,California,92701,Orange County,33.7398403,-117.867215
Salinas Classroom,632 E Alisal Street,632,East Alisal Street,Salinas,California,93905,Monterey County,36.6733529,-121.6338842
Salinas WIC,632 E Alisal Street,632,East Alisal Street,Salinas,California,93905,Monterey County,36.6733529,-121.6338842
Kerman,642 South Madera Avenue,642,South Madera Avenue,Kerman,California,93630,Fresno County,36.725162,-120.059832
Emma Prusch Community Center,647 South King Road,647,South King Road,San Jose,California,95116,Santa Clara County,37.3412365,-121.8449673
Escondido,649 West Mission Avenue Suite 7,649,West Mission Avenue,Escondido,California,92025,San Diego County,33.1270012,-117.0948198
Veterans Memorial Hall,657-575 Bridge Street,657,Bridge Street,Bieber,California,96009,Lassen County,41.1211776,-121.1340304
VHC Sunnyvale,660 South Fair Oaks Avenue,660,South Fair Oaks Avenue,Sunnyvale,California,94086,Santa Clara County,37.3648488,-122.0234962
Winterhaven Satellite Site,676 Baseline Road Suite 306,676,Baseline Road,Winterhaven,California,92283,Imperial County,32.7520759,-114.5988548
Alameda Point Collaborative,677 West Ranger Avenue,677,West Ranger Avenue,Alameda,California,94501,Alameda County,37.7845836,-122.2981667
Eastland Plaza WIC,678 North Wilson Way Suite 16,678,North Wilson Way,Stockton,California,95205,San Joaquin County,37.9613904,-121.2708613
"West Oakland Health Council, Inc.",700 Adeline Street,700,Adeline Street,Oakland,California,94607,Alameda County,37.804271,-122.287389
Marine and Family Services Building,700 Champagne Avenue,700,Champagne Avenue,Coleville,California,96107,Mono County,38.58811,-119.516067
Union Avenue WIC,701 Union Avenue,701,Union Avenue,Bakersfield,California,93307,Kern County,35.3634593,-119.0032622
Channel Medical Center WIC,701 East Channel,701,Channel Street,Stockton,California,95202,San Joaquin County,37.9563176,-121.2821982
Lancaster WIC,701 West Avenue K Suite 104,701,West Avenue K,Lancaster,California,93534,Los Angeles County,34.675628,-118.143776
Frazier Mountain Community Health Center,704 Lebec Road,704,Lebec Road,Lebec,California,93243,Kern County,34.820542,-118.883872
Barstow Clinic,705 East Virginia Way Suite E,705,East Virginia Way,Barstow,California,92311,San Bernardino County,34.8885696,-117.0185202
Plumas Rural Services WIC Quincy,711 East Main Street,711,East Main Street,Quincy,California,95971,Plumas County,39.9350279,-120.9246856
Paso Robles Health Department,723 Walnut Street,723,Walnut Drive,Paso Robles,California,93446,San Luis Obispo County,35.6283314,-120.67329
San Jose Medical Plaza Main Office,725 East Santa Clara Street Suite 200,725,East Santa Clara Street,San Jose,California,95112,Santa Clara County,37.3434269,-121.8757574
Garberville WIC,727 Cedar Street,727,Cedar Street,Garberville,California,95542,Humboldt County,40.1021874,-123.7926882
Earlimart WIC,728 East Washington Street,728,East Washington Street,Earlimart,California,93219,Tulare County,35.8847145,-119.268037
Tracy Family Practice,738 North Central,738,North Central Avenue,Tracy,California,95376,San Joaquin County,37.7362003,-121.4258054
Wasco Medical Center,741 Palm Building E,741,Palm Avenue,Wasco,California,93280,Kern County,35.593751,-119.3492938
Morro Bay Health Department,760 Morro Bay Boulevard,760,Morro Bay Boulevard,Morro Bay,California,93442,San Luis Obispo County,35.365681,-120.8441
UHCSJV-Orange Cove,765 Anchor Avenue Suite F,765,Anchor Avenue,Orange Cove,California,93646,Fresno County,36.6222235,-119.3227767
Warwick Square Learning and Resource Center WIC,780 South Lyon Street,780,South Lyon Street,Santa Ana,California,92705,Orange County,33.7375344,-117.8456166
Susanville Rancheria,795 Joaquin Street,795,Joaquin Street,Susanville,California,96130,Lassen County,40.4267937,-120.6571423
College of the Siskiyous,800 College Avenue,800,College Avenue,Weed,California,96094,Siskiyou County,41.4126153,-122.3893698
Redlands Community Center,800 East Lugonia Street Suite K,800,East Lugonia Avenue,Redlands,California,92374,San Bernardino County,34.0697012,-117.1731446
Glendale WIC,801 South Chevy Chase Drive Suite 40,801,South Chevy Chase Drive,Glendale,California,91205,Los Angeles County,34.1365869,-118.2403881
Siskiyou County Public Health Department,808 S. Main Street,808,South Main Street,Yreka,California,96097,Siskiyou County,41.7258231,-122.638331
St. Patricks Church,809 N. Main Street,809,North Main Street,Angels Camp,California,95222,Calaveras County,38.0884519,-120.5727033
Tulelake Fairgrounds,810 Main Street,810,Main Street,Tulelake,California,96134,Siskiyou County,41.9510383,-121.4766998
Grand Avenue Office,811 Grand Avenue Suite A-1,811,Grand Avenue,Sacramento,California,95838,Sacramento County,38.63713,-121.446932
Ridgecrest WIC Center,814 Norma,814,North Norma Street,Ridgecrest,California,93555,Kern County,35.636137,-117.678205
East Bakersfield Community Health Center,"815 Dr. Martin Luther King, Jr. Boulevard",815,Doctor Martin Luther King Junior Boulevard,Bakersfield,California,93307,Kern County,35.3657968,-118.984888
Fillmore WIC Fillmore Health Care Services Center,828 West Ventura Street Suite 110E,828,West Ventura Street,Fillmore,California,93015,Ventura County,34.3953792,-118.9212987
City Of Berkeley,830 University Avenue,830,University Avenue,Berkeley,California,94710,Alameda County,37.8678272,-122.2972235
E-Center Lakeport,831 Bevins Street,831,Bevins Street,Lakeport,California,95453,Lake County,39.0361064,-122.9249134
Chico NVIH,845 West East Avenue,845,West East Avenue,Chico,California,95926,Butte County,39.7474534,-121.8762321
Foothill WIC,851 W Foothill Blvd.,851,West Foothill Boulevard,Rialto,California,92376,San Bernardino County,34.1060671,-117.3864031
Carson WIC Center,860 East Carson Street Suites 108-109,860,East Carson Street,Carson,California,90745,Los Angeles County,33.8313535,-118.2598611
Imperial Beach WIC,886 Palm Avenue,886,Palm Avenue,Imperial Beach,California,91932,San Diego County,32.5840148,-117.1145699
"Wattshealth Foundation, Inc. Compton Site - WIC",900 North Long Beach Boulevard,900,North Long Beach Boulevard,Compton,California,90221,Los Angeles County,33.9019037,-118.2083299
Palm Springs Clinc,901 East Tahaquitz Way Suite A204,901,East Tahquitz Canyon Way,Palm Springs,California,92262,Riverside County,33.8225339,-116.5378724
"Taft WIC Program - ""The Fort""",915 North 10th Street Suite 12,915,North 10th Street,Taft,California,93268,Kern County,35.1504562,-119.4661415
Main WIC Office,915 Broadway Suite 1,915,Broadway,Sacramento,California,95818,Sacramento County,38.564423,-121.501084
Burbank WIC,930 W. Alameda Avenue,930,West Alameda Avenue,Burbank,California,91506,Los Angeles County,34.1629437,-118.312405
El Dorado County Department Of Human Services,937 Spring Street,937,Spring Street,Placerville,California,95667,El Dorado County,38.7323207,-120.8016939
Cambria Veterans Memorial Building,1000 Main Street,1000,Main Street,Cambria,California,93428,San Luis Obispo County,35.5646906,-121.0969019
Rocklin,1000 Sunset Boulevard Suite 150,1000,Sunset Boulevard,Rocklin,California,95765,Placer County,38.8158334,-121.2892569
Corcoran Center,1002 Dairy Avenue,1002,Dairy Avenue,Corcoran,California,93212,Kings County,36.099473,-119.5724096
Lighthouse Community Center @ Minnie Street,1010 South Minnie Street Suite #3,1010,South Minnie Street,Santa Ana,California,92701,Orange County,33.735522,-117.855342
Delano VFW Hall,1025 Garces Highway,1025,Garces Highway,Delano,California,93215,Kern County,35.7614556,-119.2410447
San Antonio WIC,1030 International Boulevard,1030,International Boulevard,Oakland,California,94606,Alameda County,37.791911,-122.248991
Vista WIC,1031 South Santa Fe Avenue Suites G and H,1031,South Santa Fe Avenue,Vista,California,92083,San Diego County,33.1915638,-117.2296152
Sycamore Family Center,1035 West Wood Street,1035,West Wood Street,Willows,California,95988,Glenn County,39.5243553,-122.2064521
St. Mary's Physician Center,1043 Elm Avenue Suite 401,1043,Elm Avenue,Long Beach,California,90813,Los Angeles County,33.7796472,-118.188439
Hemet Health Center WIC,1055 North State Street,1055,North State Street,Hemet,California,92543,Riverside County,33.7643626,-116.9723073
Crescent City - UIHS Indian Lodge,1080 Mason Mall,1080,Mason Mall,Crescent City,California,95531,Del Norte County,41.7528879,-124.1951409
Taylor Family Center,1101 Lever Boulevard,1101,Lever Boulevard,Stockton,California,95206,San Joaquin County,37.9239075,-121.3021822
Santa Cruz,1105 Water Street,1105,Water Street,Santa Cruz,California,95062,Santa Cruz County,36.9816016,-122.0099698
"Rio Vista Ministry, Inc.",1105 Airport Road Suite A,1105,Airport Road,Rio Vista,California,94571,Solano County,38.172578,-121.68739
Mt. Shasta Public Health Department,1107 Ream Avenue,1107,Ream Avenue,Mount Shasta,California,96067,Siskiyou County,41.3030299,-122.3112235
Fortuna WIC,1108 Main Street,1108,Main Street,Fortuna,California,95540,Humboldt County,40.598256,-124.15531
La Palma WIC,"1110 W. La Palma Avenue Suite 8, 2nd Floor",1110,West La Palma Avenue,Anaheim,California,92801,Orange County,33.8467881,-117.9321221
Sagebrush WIC,1111 Columbus St.,1111,Columbus Street,Bakersfield,California,93305,Kern County,35.396788,-118.982481
Marysville WIC,1114 Yuba Street Suite 217,1114,Yuba Street,Marysville,California,95901,Yuba County,39.1478135,-121.585012
SCHSSD - Vacaville Solano County Health And Social Services Department,1119 E Monte Vista Avenue,1119,East Monte Vista Avenue,Vacaville,California,95688,Solano County,38.360856,-121.976359
